"","X","Course.taken","Quarter","Grade.earned","numericalgrade","Last.quarter.of.attendance","Drop.date","Concurrent.GPA","Concurrent.credits.registered.for","Concurrent.credits.earned","COMPASS.Reading","COMPASS.Number.Skills","COMPASS.Elem.Alg","COMPASS.College.Alg","COMPASS.Trig","MAPS.score","FID"
"1",1,"MATH070","B124","W",NA,"B124","5/23/2012",0,5,0,92,45,"16",NA,"",NA,3607
"2",2,"MATH147","B121","3.5",3.5,"B121","",3.43,15,15,94,NA,"88",27,"",NA,2131
"3",3,"MATH&107","B014","2.3",2.3,"B343","",2.3,5,5,NA,NA,"",NA,"",NA,7896
"4",4,"MATH072","B012","W",NA,"B012","10/5/2010",0,10,0,99,NA,"",NA,"",NA,3907
"5",5,"MATH097","B012","W",NA,"B012","10/4/2010",0,10,0,99,NA,"",NA,"",NA,3907
"6",6,"MATH062","B233","3.8",3.8,"B344","",3.75,10,10,87,66,"15",NA,"",NA,6936
"7",7,"MATH070","B341","3.4",3.4,"B344","",3.5,10,10,87,66,"15",NA,"",NA,6936
"8",8,"MATH072","B342","1.4",1.4,"B344","",0.7,10,5,87,66,"15",NA,"",NA,6936
"9",9,"MATH&141","B232","4",4,"B344","",4,12,12,99,66,"46",NA,"",NA,1070
"10",10,"MATH&142","B233","3.5",3.5,"B344","",3.55,10,10,99,66,"46",NA,"",NA,1070
"11",11,"MATH&151","B342","3.4",3.4,"B344","",3.63,13,13,99,66,"46",NA,"",NA,1070
"12",12,"MATH072","B124","4",4,"B344","",4,10,10,99,66,"46",NA,"",NA,1070
"13",13,"MATH097","B231","4",4,"B344","",3.87,15,15,99,66,"46",NA,"",NA,1070
"14",14,"MATH&142","B121","W",NA,"B231","7/21/2011",0,5,0,93,NA,"46",NA,"",NA,11502
"15",15,"MATH070","B234","4",4,"B344","",4,10,10,99,67,"23",NA,"",NA,7580
"16",16,"MATH072","B342","3.1",3.1,"B344","",3.65,13,13,99,67,"23",NA,"",NA,7580
"17",17,"MATH&107","B014","2.6",2.6,"B014","",2.6,5,5,76,54,"",NA,"",NA,1248
"18",18,"MATH&141","B234","2.4",2.4,"B344","",3.2,10,10,94,43,"15",NA,"",NA,1966
"19",19,"MATH062","B122","4",4,"B344","",4,10,10,94,43,"15",NA,"",NA,1966
"20",20,"MATH070","B123","4",4,"B344","",4,10,10,94,43,"15",NA,"",NA,1966
"21",21,"MATH072","B124","4",4,"B344","",4,10,10,94,43,"15",NA,"",NA,1966
"22",22,"MATH097","B231","4",4,"B344","",3.85,10,10,94,43,"15",NA,"",NA,1966
"23",23,"MATH070","B012","3",3,"B233","",3,15,10,96,31,"23",NA,"",NA,7899
"24",24,"MATH072","B013","0",0,"B233","1/3/2011",2,15,10,96,31,"23",NA,"",NA,7899
"25",25,"MATH072","B121","0",0,"B233","8/2/2011",0.33,15,5,96,31,"23",NA,"",NA,7899
"26",26,"MATH147","B012","4",4,"B014","",3.4,10,10,85,NA,"",23,"",NA,664
"27",27,"MATH&107","B122","2",2,"B233","",2.13,15,15,86,NA,"",NA,"",NA,7630
"28",28,"MATH097","B012","2",2,"B233","",2.5,15,15,86,NA,"",NA,"",NA,7630
"29",29,"MATH147","B013","0",0,"B233","3/4/2011",2.47,15,10,86,NA,"",NA,"",NA,7630
"30",30,"MATH147","B014","W",NA,"B233","5/5/2011",3.15,18,13,86,NA,"",NA,"",NA,7630
"31",31,"MATH147","B121","NC",NA,"B233","",3.05,16,11,86,NA,"",NA,"",NA,7630
"32",32,"MATH&107","B011","3.1",3.1,"B121","",3.03,16,16,89,27,"",NA,"",NA,7409
"33",33,"MATH097","B342","1",1,"B343","",2.82,17,17,99,NA,"",NA,"",NA,8259
"34",34,"MATH072","B012","2.1",2.1,"B122","",2.79,17,12,88,40,"",NA,"",NA,5103
"35",35,"MATH062","B123","3.5",3.5,"B344","",3.5,5,5,71,43,"21",NA,"",NA,8529
"36",36,"MATH070","B124","3.6",3.6,"B344","",3.8,10,10,71,43,"21",NA,"",NA,8529
"37",37,"MATH072","B231","1.8",1.8,"B344","",1.8,5,5,71,43,"21",NA,"",NA,8529
"38",38,"MATH072","B232","3.1",3.1,"B344","",3.45,10,10,71,43,"21",NA,"",NA,8529
"39",39,"MATH097","B233","0",0,"B344","3/21/2013",0,5,0,71,43,"21",NA,"",NA,8529
"40",40,"MATH097","B234","2.8",2.8,"B344","",2.95,10,10,71,43,"21",NA,"",NA,8529
"41",41,"MATH062","B013","3.6",3.6,"B014","",2.47,15,15,83,24,"16",NA,"",NA,750
"42",42,"MATH070","B014","0",0,"B014","",0,16,0,83,24,"16",NA,"",NA,750
"43",43,"MATH062","B231","2",2,"B344","",2.47,15,15,75,32,"17",NA,"",180,12401
"44",44,"MATH070","B232","0",0,"B344","12/12/2012",1.4,15,5,75,32,"17",NA,"",180,12401
"45",45,"MATH&141","B124","1.5",1.5,"B233","",1.5,5,5,95,49,"36",NA,"",NA,2615
"46",46,"MATH&141","B233","0",0,"B233","3/11/2013",0,5,0,95,49,"36",NA,"",NA,2615
"47",47,"MATH072","B013","0",0,"B233","1/7/2011",0,10,0,95,49,"36",NA,"",NA,2615
"48",48,"MATH072","B121","2.6",2.6,"B233","",2.6,5,5,95,49,"36",NA,"",NA,2615
"49",49,"MATH097","B123","2.5",2.5,"B233","",3,10,10,95,49,"36",NA,"",NA,2615
"50",50,"MATH072","B233","3.3",3.3,"B342","",3.2,15,15,99,87,"22",NA,"",NA,10850
"51",51,"MATH097","B234","2.5",2.5,"B342","",3,15,15,99,87,"22",NA,"",NA,10850
"52",52,"MATH&142","B014","1",1,"B342","",1,5,5,64,27,"",38,"",NA,8509
"53",53,"MATH147","B012","3",3,"B013","",3,5,5,97,64,"19",NA,"",NA,6483
"54",54,"MATH&107","B233","3.9",3.9,"B344","",3.6,15,15,99,91,"30",NA,"",NA,10359
"55",55,"MATH062","B014","4",4,"B231","",3.67,15,15,87,33,"21",NA,"",NA,8198
"56",56,"MATH070","B121","4",4,"B231","",3.71,12,7,87,33,"21",NA,"",NA,8198
"57",57,"MATH072","B122","3.8",3.8,"B231","",3.93,15,15,87,33,"21",NA,"",NA,8198
"58",58,"MATH097","B123","3.1",3.1,"B231","",3.39,18,18,87,33,"21",NA,"",NA,8198
"59",59,"MATH062","B014","2.5",2.5,"B343","",2.5,5,5,76,35,"18",NA,"",NA,12274
"60",60,"MATH070","B122","W",NA,"B343","11/3/2011",1.6,10,5,76,35,"18",NA,"",NA,12274
"61",61,"MATH072","B233","3.7",3.7,"B344","",3.5,15,15,97,39,"26",NA,"",NA,5573
"62",62,"MATH097","B341","3",3,"B344","",3,10,10,97,39,"26",NA,"",NA,5573
"63",63,"MATH147","B342","3.9",3.9,"B344","",3.5,10,10,97,39,"26",NA,"",NA,5573
"64",64,"MATH072","B013","W",NA,"B341","1/19/2011",3.1,15,10,41,20,"",NA,"",290,6235
"65",65,"MATH072","B232","3.6",3.6,"B341","",3.17,15,15,41,20,"",NA,"",290,6235
"66",66,"MATH097","B234","3.2",3.2,"B341","",3.2,10,5,41,20,"",NA,"",290,6235
"67",67,"MATH062","B232","3.7",3.7,"B344","",3.73,15,15,69,35,"21",NA,"",NA,2965
"68",68,"MATH070","B233","3.6",3.6,"B344","",3.74,17,17,69,35,"21",NA,"",NA,2965
"69",69,"MATH072","B234","2.5",2.5,"B344","",2.34,14,14,69,35,"21",NA,"",NA,2965
"70",70,"MATH097","B341","2.3",2.3,"B344","",2.83,12,12,69,35,"21",NA,"",NA,2965
"71",71,"MATH&107","B012","1.1",1.1,"B342","",1.1,5,5,74,NA,"",NA,"",NA,12512
"72",72,"MATH062","B121","3.5",3.5,"B343","",2.5,10,10,90,NA,"41",NA,"",NA,10335
"73",73,"MATH070","B122","2.5",2.5,"B343","",2.05,10,10,90,NA,"41",NA,"",NA,10335
"74",74,"MATH072","B013","0",0,"B343","2/27/2011",0,10,0,90,NA,"41",NA,"",NA,10335
"75",75,"MATH072","B123","2.9",2.9,"B343","",2.9,10,10,90,NA,"41",NA,"",NA,10335
"76",76,"MATH097","B124","3.3",3.3,"B343","",3.3,10,10,90,NA,"41",NA,"",NA,10335
"77",77,"MATH&141","B233","3.4",3.4,"B342","",3.37,15,15,78,NA,"",41,"",NA,4640
"78",78,"MATH&142","B234","3.1",3.1,"B342","",2.79,12,12,78,NA,"",41,"",NA,4640
"79",79,"MATH097","B232","4",4,"B342","",3.83,12,12,78,NA,"",41,"",NA,4640
"80",80,"MATH147","B122","3.3",3.3,"B233","",3.25,10,10,99,45,"",NA,"",NA,5466
"81",81,"MATH070","B231","3.7",3.7,"B342","",3.1,10,10,93,67,"33",NA,"",NA,483
"82",82,"MATH072","B232","3",3,"B342","",3,10,10,93,67,"33",NA,"",NA,483
"83",83,"MATH097","B233","2.7",2.7,"B342","",2.57,15,15,93,67,"33",NA,"",NA,483
"84",84,"MATH147","B234","W",NA,"B342","5/3/2013",2.3,10,5,93,67,"33",NA,"",NA,483
"85",85,"MATH062","B121","2.7",2.7,"B122","",1.38,13,10,89,62,"16",NA,"",NA,12168
"86",86,"MATH070","B014","W",NA,"B122","4/28/2011",2.14,12,5,89,62,"16",NA,"",NA,12168
"87",87,"MATH062","B122","3.5",3.5,"B344","",3.2,15,15,84,62,"25",NA,"",NA,8410
"88",88,"MATH070","B123","3.4",3.4,"B344","",1.7,7,7,84,62,"25",NA,"",NA,8410
"89",89,"MATH072","B124","3.9",3.9,"B344","",3.4,10,10,84,62,"25",NA,"",NA,8410
"90",90,"MATH097","B232","3.1",3.1,"B344","",3.3,12,12,84,62,"25",NA,"",NA,8410
"91",91,"MATH147","B233","1",1,"B344","",0.93,10,10,84,62,"25",NA,"",NA,8410
"92",92,"MATH070","B014","4",4,"B341","",4,10,5,92,74,"22",NA,"",NA,6994
"93",93,"MATH062","B011","0",0,"B344","7/2/2010",0,13,0,71,49,"23",NA,"",NA,9273
"94",94,"MATH072","B013","NC",NA,"B342","",2.9,10,5,93,52,"27",NA,"",NA,9394
"95",95,"MATH072","B014","4",4,"B342","",4,7,7,93,52,"27",NA,"",NA,9394
"96",96,"MATH097","B121","3.4",3.4,"B342","",3.44,8,8,93,52,"27",NA,"",NA,9394
"97",97,"MATH&107","B231","2.5",2.5,"B233","",NA,10,10,87,43,"17",NA,"",NA,8916
"98",98,"MATH062","B013","3.6",3.6,"B233","",3.6,10,10,87,43,"17",NA,"",NA,8916
"99",99,"MATH070","B014","3.6",3.6,"B233","",3.75,12,12,87,43,"17",NA,"",NA,8916
"100",100,"MATH072","B121","3.2",3.2,"B233","",3.2,5,5,87,43,"17",NA,"",NA,8916
"101",101,"MATH097","B122","2.6",2.6,"B233","",2.7,10,10,87,43,"17",NA,"",NA,8916
"102",102,"MATH062","B124","3.5",3.5,"B344","",3.75,10,10,NA,NA,"",NA,"",NA,6827
"103",103,"MATH070","B231","1",1,"B344","",2.1,10,10,NA,NA,"",NA,"",NA,6827
"104",104,"MATH070","B232","2.9",2.9,"B344","",2.9,5,5,NA,NA,"",NA,"",NA,6827
"105",105,"MATH072","B233","3.1",3.1,"B344","",3.33,8,8,NA,NA,"",NA,"",NA,6827
"106",106,"MATH097","B234","2.8",2.8,"B344","",3.1,8,8,NA,NA,"",NA,"",NA,6827
"107",107,"MATH&141","B011","1.5",1.5,"B342","",2.97,15,15,99,93,"69",NA,"",NA,2715
"108",108,"MATH&141","B012","W",NA,"B342","10/7/2010",3.84,18,13,99,93,"69",NA,"",NA,2715
"109",109,"MATH&141","B341","2.5",2.5,"B342","",2.3,10,10,99,93,"69",NA,"",NA,2715
"110",110,"MATH097","B234","4",4,"B342","",3.6,10,10,99,93,"69",NA,"",NA,2715
"111",111,"MATH&141","B012","W",NA,"B013","10/20/2010",2,11,6,NA,NA,"61",NA,"",NA,10810
"112",112,"MATH070","B012","0.8",0.8,"B122","",1.65,15,15,79,38,"17",NA,"",NA,2704
"113",113,"MATH070","B013","0",0,"B122","3/11/2011",1.33,15,10,79,38,"17",NA,"",NA,2704
"114",114,"MATH070","B014","4",4,"B122","",3.23,15,15,89,69,"16",NA,"",NA,11614
"115",115,"MATH072","B232","0",0,"B233","11/6/2012",0,10,0,NA,NA,"",NA,"",NA,8136
"116",116,"MATH147","B011","4",4,"B124","",3.9,10,10,99,93,"92",42,"",NA,4767
"117",117,"MATH&107","B014","4",4,"B123","",3.57,15,15,96,74,"23",NA,"",NA,10459
"118",118,"MATH097","B011","2.6",2.6,"B123","",3.3,10,10,96,74,"23",NA,"",NA,10459
"119",119,"MATH&107","B234","3.1",3.1,"B344","",3.1,5,5,90,NA,"30",NA,"",NA,6681
"120",120,"MATH072","B232","3.3",3.3,"B344","",3.3,5,5,90,NA,"30",NA,"",NA,6681
"121",121,"MATH097","B233","2",2,"B344","",2,5,5,90,NA,"30",NA,"",NA,6681
"122",122,"MATH072","B231","0",0,"B233","7/24/2012",0,7,0,97,48,"34",NA,"",NA,10422
"123",123,"MATH147","B013","3.4",3.4,"B014","",3.43,15,15,95,NA,"27",NA,"",NA,12486
"124",124,"MATH&141","B123","3",3,"B124","",3,5,5,97,NA,"32",29,"",NA,8852
"125",125,"MATH&107","B014","4",4,"B344","",4,5,5,87,NA,"59",NA,"",NA,12327
"126",126,"MATH&141","B011","W",NA,"B344","7/13/2010",3,10,5,87,NA,"59",NA,"",NA,12327
"127",127,"MATH&107","B341","3.1",3.1,"B344","",3.1,10,10,89,31,"18",NA,"",NA,2369
"128",128,"MATH062","B124","3.9",3.9,"B344","",3.9,5,5,89,31,"18",NA,"",NA,2369
"129",129,"MATH070","B232","4",4,"B344","",3.45,10,10,89,31,"18",NA,"",NA,2369
"130",130,"MATH072","B233","3.4",3.4,"B344","",3.55,10,10,89,31,"18",NA,"",NA,2369
"131",131,"MATH097","B234","3",3,"B344","",3.35,10,10,89,31,"18",NA,"",NA,2369
"132",132,"MATH062","B341","4",4,"B342","",3.83,15,15,82,30,"15",NA,"",NA,7912
"133",133,"MATH070","B342","4",4,"B342","",4,15,15,82,30,"15",NA,"",NA,7912
"134",134,"MATH072","B013","3",3,"B124","",2.63,15,15,86,69,"29",NA,"",NA,1259
"135",135,"MATH097","B014","0",0,"B124","6/9/2011",0.97,7,2,86,69,"29",NA,"",NA,1259
"136",136,"MATH147","B341","3.8",3.8,"B344","",3.8,5,5,99,NA,"24",NA,"",NA,1321
"137",137,"MATH062","B232","0",0,"B233","11/27/2012",0,5,0,76,54,"30",NA,"",NA,7727
"138",138,"MATH062","B232","4",4,"B344","",3.83,15,15,74,33,"18",NA,"",NA,11420
"139",139,"MATH070","B233","4",4,"B344","",3.83,15,15,74,33,"18",NA,"",NA,11420
"140",140,"MATH072","B342","3.9",3.9,"B344","",3.83,15,15,74,33,"18",NA,"",NA,11420
"141",141,"MATH&142","B012","0",0,"B014","12/8/2010",0.23,15,5,99,93,"",NA,"",NA,2392
"142",142,"MATH072","B014","0",0,"B343","4/14/2011",0,5,0,NA,NA,"",NA,"",NA,9887
"143",143,"MATH072","B231","2.8",2.8,"B343","",2.8,5,5,NA,NA,"",NA,"",NA,9887
"144",144,"MATH097","B342","2.1",2.1,"B343","",2.1,5,5,NA,NA,"",NA,"",NA,9887
"145",145,"MATH070","B342","4",4,"B344","",3.9,15,15,99,71,"23",NA,"",NA,5242
"146",146,"MATH062","B013","3.7",3.7,"B233","",2.75,10,10,79,30,"15",NA,"",NA,7401
"147",147,"MATH070","B014","2.6",2.6,"B233","",1.9,10,10,79,30,"15",NA,"",NA,7401
"148",148,"MATH072","B122","0",0,"B233","11/30/2011",1.85,10,5,79,30,"15",NA,"",NA,7401
"149",149,"MATH070","B011","2.5",2.5,"B014","",3.25,10,10,95,54,"16",NA,"",NA,11829
"150",150,"MATH072","B014","1",1,"B014","",0.5,10,5,95,54,"16",NA,"",NA,11829
"151",151,"MATH070","B012","3.8",3.8,"B122","",3.85,10,10,94,54,"17",NA,"",NA,8683
"152",152,"MATH072","B013","2.9",2.9,"B122","",2.9,10,10,94,54,"17",NA,"",NA,8683
"153",153,"MATH097","B014","2",2,"B122","",3,10,10,94,54,"17",NA,"",NA,8683
"154",154,"MATH147","B121","0",0,"B122","7/19/2011",0,5,0,94,54,"17",NA,"",NA,8683
"155",155,"MATH&141","B232","3.8",3.8,"B344","",3.03,14,14,96,35,"47",NA,"",NA,9261
"156",156,"MATH&142","B233","1.2",1.2,"B344","",0.94,16,11,96,35,"47",NA,"",NA,9261
"157",157,"MATH&142","B234","3.4",3.4,"B344","",2.22,16,16,96,35,"47",NA,"",NA,9261
"158",158,"MATH072","B123","4",4,"B344","",3.87,15,15,96,35,"47",NA,"",NA,9261
"159",159,"MATH097","B124","3.9",3.9,"B344","",3.2,15,15,96,35,"47",NA,"",NA,9261
"160",160,"MATH&151","B012","1.6",1.6,"B124","",2.22,19,14,95,NA,"",50,"",NA,929
"161",161,"MATH&151","B013","2.5",2.5,"B124","",2.64,16,16,95,NA,"",50,"",NA,929
"162",162,"MATH062","B122","3.4",3.4,"B233","",2.97,15,15,99,37,"15",NA,"",NA,3025
"163",163,"MATH072","B123","3.4",3.4,"B341","",3.5,10,10,80,25,"",NA,"",NA,5535
"164",164,"MATH097","B124","2.6",2.6,"B341","",2.6,5,5,80,25,"",NA,"",NA,5535
"165",165,"MATH062","B232","3.3",3.3,"B234","",3.1,15,15,81,33,"17",NA,"",NA,7229
"166",166,"MATH070","B233","0",0,"B234","1/28/2013",0,15,0,81,33,"17",NA,"",NA,7229
"167",167,"MATH072","B014","0",0,"B124","4/22/2011",0.35,10,5,95,40,"38",NA,"",NA,7127
"168",168,"MATH&141","B122","3.8",3.8,"B233","",3.8,5,5,99,NA,"84",77,"",NA,9288
"169",169,"MATH&142","B123","3.1",3.1,"B233","",3.1,5,5,99,NA,"84",77,"",NA,9288
"170",170,"MATH&151","B232","1.7",1.7,"B233","",1.7,5,5,99,NA,"84",77,"",NA,9288
"171",171,"MATH070","B121","3.4",3.4,"B233","",2.1,15,10,99,51,"",NA,"",NA,10094
"172",172,"MATH072","B123","3.6",3.6,"B233","",3.1,15,15,99,51,"",NA,"",NA,10094
"173",173,"MATH097","B124","2.5",2.5,"B233","",2.7,15,10,99,51,"",NA,"",NA,10094
"174",174,"MATH070","B124","4",4,"B232","",4,10,10,91,70,"",NA,"",NA,4222
"175",175,"MATH072","B231","2.7",2.7,"B232","",2.2,10,10,91,70,"",NA,"",NA,4222
"176",176,"MATH097","B232","0",0,"B232","9/24/2012",0,5,0,91,70,"",NA,"",NA,4222
"177",177,"MATH072","B233","3.9",3.9,"B344","",3.9,12,12,99,98,"27",NA,"",NA,12553
"178",178,"MATH097","B234","I",NA,"B344","6/12/2013",1.5,17,7,99,98,"27",NA,"",NA,12553
"179",179,"MATH&141","B123","3.8",3.8,"B234","",3.8,5,5,99,70,"24",NA,"",NA,8453
"180",180,"MATH070","B012","4",4,"B234","",4,5,5,99,70,"24",NA,"",NA,8453
"181",181,"MATH072","B013","4",4,"B234","",4,5,5,99,70,"24",NA,"",NA,8453
"182",182,"MATH097","B014","4",4,"B234","",4,5,5,99,70,"24",NA,"",NA,8453
"183",183,"MATH&141","B232","4",4,"B343","",3.9,15,15,99,NA,"45",NA,"",NA,4890
"184",184,"MATH&142","B233","3.7",3.7,"B343","",3.83,15,15,99,NA,"45",NA,"",NA,4890
"185",185,"MATH&151","B234","4",4,"B343","",4,15,15,99,NA,"45",NA,"",NA,4890
"186",186,"MATH072","B124","4",4,"B343","",3.93,15,15,99,NA,"45",NA,"",NA,4890
"187",187,"MATH097","B231","4",4,"B343","",3.7,15,15,99,NA,"45",NA,"",NA,4890
"188",188,"MATH&107","B121","3.1",3.1,"B123","",3.5,14,14,96,54,"25",NA,"",NA,1472
"189",189,"MATH070","B011","3.7",3.7,"B123","",3.8,15,15,96,54,"25",NA,"",NA,1472
"190",190,"MATH072","B012","2.9",2.9,"B123","",3.7,21,21,96,54,"25",NA,"",NA,1472
"191",191,"MATH097","B013","2.5",2.5,"B123","",3.51,16,16,96,54,"25",NA,"",NA,1472
"192",192,"MATH&141","B011","2.3",2.3,"B011","",2.3,5,5,93,38,"",NA,"",NA,1723
"193",193,"MATH&107","B122","1",1,"B342","",1.25,10,10,87,49,"48",NA,"",NA,2619
"194",194,"MATH097","B121","2.7",2.7,"B342","",2.7,5,5,87,49,"48",NA,"",NA,2619
"195",195,"MATH062","B123","3.7",3.7,"B234","",2.56,17,12,83,NA,"26",NA,"",NA,1792
"196",196,"MATH070","B124","3.7",3.7,"B234","",3.35,10,10,83,NA,"26",NA,"",NA,1792
"197",197,"MATH&141","B121","2.8",2.8,"B341","",3.33,18,18,73,50,"15",NA,"",NA,4783
"198",198,"MATH062","B011","3.9",3.9,"B341","",3.95,12,12,73,50,"15",NA,"",NA,4783
"199",199,"MATH070","B012","4",4,"B341","",3.87,15,15,73,50,"15",NA,"",NA,4783
"200",200,"MATH072","B013","3.3",3.3,"B341","",3.37,15,15,73,50,"15",NA,"",NA,4783
"201",201,"MATH097","B014","3.2",3.2,"B341","",3.18,20,20,73,50,"15",NA,"",NA,4783
"202",202,"MATH062","B232","3.1",3.1,"B343","",3.36,9,9,99,NA,"",NA,"",NA,10484
"203",203,"MATH070","B233","1.7",1.7,"B343","3/20/2013",0,8,8,99,NA,"",NA,"",NA,10484
"204",204,"MATH070","B342","2.5",2.5,"B343","",2.25,12,12,99,NA,"",NA,"",NA,10484
"205",205,"MATH062","B122","3.9",3.9,"B124","",3.9,5,5,90,49,"22",NA,"",NA,11925
"206",206,"MATH072","B011","4",4,"B231","",4,13,13,95,79,"28",47,"31",NA,5850
"207",207,"MATH097","B012","4",4,"B231","",3.68,12,12,95,79,"28",47,"31",NA,5850
"208",208,"MATH147","B013","3.9",3.9,"B231","",3.97,15,15,95,79,"28",47,"31",NA,5850
"209",209,"MATH&107","B011","3.5",3.5,"B011","",3.5,5,5,84,57,"",NA,"",NA,2824
"210",210,"MATH072","B011","3.1",3.1,"B013","",2.83,15,15,95,48,"18",NA,"",NA,4810
"211",211,"MATH062","B234","3.8",3.8,"B342","",3.6,15,15,96,35,"16",NA,"",NA,5046
"212",212,"MATH070","B341","3.8",3.8,"B342","",3.8,5,5,96,35,"16",NA,"",NA,5046
"213",213,"MATH072","B342","0",0,"B342","9/24/2013",0,10,0,96,35,"16",NA,"",NA,5046
"214",214,"MATH&141","B014","3.5",3.5,"B014","",3.35,10,10,93,NA,"65",NA,"",NA,2864
"215",215,"MATH097","B013","4",4,"B014","",3.5,12,12,93,NA,"65",NA,"",NA,2864
"216",216,"MATH072","B014","1.9",1.9,"B122","",1.79,12,11,96,68,"45",NA,"",NA,5847
"217",217,"MATH070","B341","3.6",3.6,"B344","",3.05,10,10,95,60,"24",NA,"",NA,7334
"218",218,"MATH070","B122","3.5",3.5,"B231","",3.73,20,15,92,56,"20",NA,"",NA,10478
"219",219,"MATH072","B231","0",0,"B231","8/16/2012",0,8,0,92,56,"20",NA,"",NA,10478
"220",220,"MATH062","B123","3",3,"B344","",3.65,20,20,91,42,"15",NA,"",NA,459
"221",221,"MATH070","B342","3.7",3.7,"B344","",3.85,10,10,91,42,"15",NA,"",NA,459
"222",222,"MATH&141","B122","3",3,"B123","",3.18,16,16,95,NA,"95",60,"",NA,2430
"223",223,"MATH097","B124","0",0,"B233","4/9/2012",0,15,0,85,44,"15",NA,"",NA,6419
"224",224,"MATH097","B342","4",4,"B344","",4,5,5,99,50,"36",NA,"",NA,7387
"225",225,"MATH&141","B012","2.3",2.3,"B234","",2.63,15,15,97,NA,"46",17,"",NA,5827
"226",226,"MATH&141","B014","2.1",2.1,"B234","",2.55,10,10,97,NA,"46",17,"",NA,5827
"227",227,"MATH&142","B121","3",3,"B234","",3.15,10,10,97,NA,"46",17,"",NA,5827
"228",228,"MATH&151","B122","W",NA,"B234","11/14/2011",2.93,12,7,97,NA,"46",17,"",NA,5827
"229",229,"MATH&151","B231","1",1,"B234","",1.86,7,7,97,NA,"46",17,"",NA,5827
"230",230,"MATH097","B011","3.8",3.8,"B234","",3.5,10,10,97,NA,"46",17,"",NA,5827
"231",231,"MATH072","B342","4",4,"B344","",3.83,15,15,95,63,"23",NA,"",NA,3797
"232",232,"MATH&141","B122","3.4",3.4,"B232","",3.57,14,14,94,NA,"",NA,"",NA,2434
"233",233,"MATH&142","B123","3.4",3.4,"B232","",3.4,5,5,94,NA,"",NA,"",NA,2434
"234",234,"MATH072","B011","3.8",3.8,"B232","",3.8,5,5,94,NA,"",NA,"",NA,2434
"235",235,"MATH097","B012","3.6",3.6,"B232","",3.51,17,17,94,NA,"",NA,"",NA,2434
"236",236,"MATH&107","B014","2",2,"B234","",2.97,15,15,86,NA,"35",NA,"",NA,1229
"237",237,"MATH&141","B012","2.5",2.5,"B234","",2.46,13,13,86,NA,"35",NA,"",NA,1229
"238",238,"MATH070","B121","0",0,"B122","6/20/2011",0.04,13,0,88,73,"18",NA,"",NA,8484
"239",239,"MATH062","B124","4",4,"B232","",3.95,12,12,80,44,"15",NA,"",NA,1087
"240",240,"MATH072","B011","3.6",3.6,"B013","",2.27,15,15,99,35,"28",NA,"",NA,7900
"241",241,"MATH097","B012","0",0,"B013","11/8/2010",0.71,12,7,99,35,"28",NA,"",NA,7900
"242",242,"MATH097","B013","0",0,"B013","1/25/2011",0,10,0,99,35,"28",NA,"",NA,7900
"243",243,"MATH&107","B232","2.1",2.1,"B232","",0.7,15,5,91,82,"20",NA,"",NA,10192
"244",244,"MATH070","B123","4",4,"B232","",3.05,10,10,91,82,"20",NA,"",NA,10192
"245",245,"MATH072","B124","2.7",2.7,"B232","",3.07,15,15,91,82,"20",NA,"",NA,10192
"246",246,"MATH097","B231","2.6",2.6,"B232","",0.87,15,5,91,82,"20",NA,"",NA,10192
"247",247,"MATH062","B123","3.8",3.8,"B344","",3.77,15,15,80,27,"18",NA,"",NA,2424
"248",248,"MATH070","B124","2.9",2.9,"B344","",2.17,18,13,80,27,"18",NA,"",NA,2424
"249",249,"MATH062","B124","3.6",3.6,"B341","",2.63,11,11,89,31,"21",NA,"",NA,4895
"250",250,"MATH070","B231","1",1,"B341","",2.25,12,12,89,31,"21",NA,"",NA,4895
"251",251,"MATH070","B233","3.5",3.5,"B341","",3,15,15,89,31,"21",NA,"",NA,4895
"252",252,"MATH072","B234","0",0,"B341","4/26/2013",0,15,0,89,31,"21",NA,"",NA,4895
"253",253,"MATH070","B232","3",3,"B234","",2.55,10,10,99,17,"50",19,"",NA,11024
"254",254,"MATH072","B233","0",0,"B234","3/7/2013",1.7,10,5,99,17,"50",19,"",NA,11024
"255",255,"MATH062","B011","3.4",3.4,"B014","",3.7,10,10,62,40,"15",NA,"",NA,6842
"256",256,"MATH&142","B233","2.3",2.3,"B234","",2.3,5,5,96,45,"54",NA,"",NA,5294
"257",257,"MATH&151","B234","1.2",1.2,"B234","",1.1,10,10,96,45,"54",NA,"",NA,5294
"258",258,"MATH&151","B014","3.7",3.7,"B124","",3.65,15,15,98,NA,"37",NA,"",NA,12436
"259",259,"MATH062","B013","4",4,"B234","",4,10,10,92,43,"21",NA,"",NA,9948
"260",260,"MATH070","B013","3.6",3.6,"B123","",3.6,5,5,96,35,"16",NA,"",NA,9541
"261",261,"MATH072","B014","3.6",3.6,"B123","",3.6,5,5,96,35,"16",NA,"",NA,9541
"262",262,"MATH097","B121","0",0,"B123","8/3/2011",0,5,0,96,35,"16",NA,"",NA,9541
"263",263,"MATH097","B122","2.7",2.7,"B123","",2.7,5,5,96,35,"16",NA,"",NA,9541
"264",264,"MATH147","B014","3",3,"B124","",3,5,5,99,NA,"",NA,"",NA,9811
"265",265,"MATH&141","B121","4",4,"B232","",4,10,10,99,NA,"",NA,"",NA,11301
