"","X","Course.taken","Quarter","Grade.earned","numericalgrade","Last.quarter.of.attendance","Drop.date","Concurrent.GPA","Concurrent.credits.registered.for","Concurrent.credits.earned","COMPASS.Reading","COMPASS.Number.Skills","COMPASS.Elem.Alg","COMPASS.College.Alg","COMPASS.Trig","MAPS.score","FID"
"12440",12440,"MATH&151","B013","3.6",3.6,"B124","",3.87,15,15,96,NA,"85",84,"34",NA,5399
"12441",12441,"MATH097","B011","3.8",3.8,"B011","",3.8,5,5,NA,NA,"",NA,"",NA,1835
"12442",12442,"MATH&141","B012","3.3",3.3,"B124","",3.33,18,18,97,NA,"94",44,"",NA,4754
"12443",12443,"MATH&142","B013","2.5",2.5,"B124","",3.02,13,13,97,NA,"94",44,"",NA,4754
"12444",12444,"MATH147","B123","3.8",3.8,"B124","",3.87,15,15,97,NA,"94",44,"",NA,4754
"12445",12445,"MATH147","B123","0.1",0.1,"B124","",1.53,15,10,99,NA,"79",43,"",445,140
"12446",12446,"MATH072","B233","2.5",2.5,"B343","",1.17,15,10,96,NA,"34",NA,"",NA,12290
"12447",12447,"MATH097","B234","2.6",2.6,"B343","6/13/2013",0,5,5,96,NA,"34",NA,"",NA,12290
"12448",12448,"MATH&141","B123","2",2,"B234","",2.7,20,15,94,NA,"32",NA,"",NA,531
"12449",12449,"MATH072","B012","3",3,"B234","",3,5,5,94,NA,"32",NA,"",NA,531
"12450",12450,"MATH097","B013","0.8",0.8,"B234","",0.8,5,5,94,NA,"32",NA,"",NA,531
"12451",12451,"MATH097","B122","3.8",3.8,"B234","",3.83,15,15,94,NA,"32",NA,"",NA,531
"12452",12452,"MATH&107","B124","3.9",3.9,"B124","",3.69,8,8,87,NA,"40",NA,"",NA,3444
"12453",12453,"MATH072","B122","3.7",3.7,"B234","",3.57,15,15,77,NA,"26",NA,"",NA,9769
"12454",12454,"MATH&142","B122","NC",NA,"B233","11/10/2011",0,5,0,94,NA,"",NA,"",NA,9352
