"","X","Course.taken","Quarter","Grade.earned","numericalgrade","Last.quarter.of.attendance","Drop.date","Concurrent.GPA","Concurrent.credits.registered.for","Concurrent.credits.earned","COMPASS.Reading","COMPASS.Number.Skills","COMPASS.Elem.Alg","COMPASS.College.Alg","COMPASS.Trig","MAPS.score","FID","success1.0","success2.0","success2.5","forcednumericalgrade"
"5365",5365,"MATH072","B012","3.3",3.3,"B014","",3.3,5,5,NA,77,"24",NA,"",285,8787,TRUE,TRUE,TRUE,3.3
"5366",5366,"MATH097","B013","2.5",2.5,"B014","",2.5,5,5,NA,77,"24",NA,"",285,8787,TRUE,TRUE,TRUE,2.5
"5367",5367,"MATH&107","B011","0",0,"B233","8/11/2010",1.27,15,5,88,44,"20",NA,"",NA,2991,FALSE,FALSE,FALSE,0
"5368",5368,"MATH&107","B013","1.8",1.8,"B233","",3.17,15,15,88,44,"20",NA,"",NA,2991,TRUE,FALSE,FALSE,1.8
"5369",5369,"MATH097","B013","1.2",1.2,"B013","",1.2,5,5,89,48,"41",NA,"",NA,4314,TRUE,FALSE,FALSE,1.2
"5370",5370,"MATH062","B233","3.9",3.9,"B343","",3.77,15,15,74,68,"45",NA,"",NA,7677,TRUE,TRUE,TRUE,3.9
"5371",5371,"MATH070","B234","3.6",3.6,"B343","",3.73,15,15,74,68,"45",NA,"",NA,7677,TRUE,TRUE,TRUE,3.6
"5372",5372,"MATH072","B341","3.3",3.3,"B343","",3.15,10,10,74,68,"45",NA,"",NA,7677,TRUE,TRUE,TRUE,3.3
"5373",5373,"MATH062","B122","3.5",3.5,"B124","",3.5,15,10,93,44,"16",NA,"",NA,9836,TRUE,TRUE,TRUE,3.5
"5374",5374,"MATH070","B123","3.7",3.7,"B124","",2.97,15,15,93,44,"16",NA,"",NA,9836,TRUE,TRUE,TRUE,3.7
"5375",5375,"MATH072","B124","3.1",3.1,"B124","",2.58,12,12,93,44,"16",NA,"",NA,9836,TRUE,TRUE,TRUE,3.1
"5376",5376,"MATH&107","B012","2.9",2.9,"B121","",3.27,15,15,87,69,"71",NA,"",NA,841,TRUE,TRUE,TRUE,2.9
"5377",5377,"MATH072","B232","W",NA,"B232","10/19/2012",2.4,15,5,76,NA,"41",NA,"",NA,4005,FALSE,FALSE,FALSE,-0.1
"5378",5378,"MATH072","B342","4",4,"B344","",3.5,15,15,94,51,"29",NA,"",NA,8897,TRUE,TRUE,TRUE,4
"5379",5379,"MATH147","B124","3.2",3.2,"Z999","",3.2,15,15,99,NA,"42",NA,"",NA,3843,TRUE,TRUE,TRUE,3.2
"5380",5380,"MATH&107","B233","2",2,"B233","",2,5,5,86,69,"29",NA,"",NA,4631,TRUE,TRUE,FALSE,2
"5381",5381,"MATH070","B123","3.7",3.7,"B233","",3.55,10,10,86,69,"29",NA,"",NA,4631,TRUE,TRUE,TRUE,3.7
"5382",5382,"MATH072","B124","2.9",2.9,"B233","",2.9,5,5,86,69,"29",NA,"",NA,4631,TRUE,TRUE,TRUE,2.9
"5383",5383,"MATH097","B232","2.7",2.7,"B233","",2.7,5,5,86,69,"29",NA,"",NA,4631,TRUE,TRUE,TRUE,2.7
"5384",5384,"MATH&107","B013","0.7",0.7,"B342","",1,10,10,91,37,"33",NA,"",NA,41,FALSE,FALSE,FALSE,0.7
"5385",5385,"MATH&107","B122","W",NA,"B342","11/2/2011",0,12,2,91,37,"33",NA,"",NA,41,FALSE,FALSE,FALSE,-0.1
"5386",5386,"MATH097","B011","2.6",2.6,"B342","",0.9,15,5,91,37,"33",NA,"",NA,41,TRUE,TRUE,TRUE,2.6
"5387",5387,"MATH&142","B012","W",NA,"B012","11/4/2010",0,11,0,95,NA,"42",NA,"",465,9869,FALSE,FALSE,FALSE,-0.1
