"","X","Course.taken","Quarter","Grade.earned","numericalgrade","Last.quarter.of.attendance","Drop.date","Concurrent.GPA","Concurrent.credits.registered.for","Concurrent.credits.earned","COMPASS.Reading","COMPASS.Number.Skills","COMPASS.Elem.Alg","COMPASS.College.Alg","COMPASS.Trig","MAPS.score","FID","success1.0","success2.0","success2.5","forcednumericalgrade"
"1",1,"MATH070","B124","W",NA,"B124","5/23/2012",0,5,0,92,45,"16",NA,"",NA,3607,FALSE,FALSE,FALSE,-0.1
"2",2,"MATH147","B121","3.5",3.5,"B121","",3.43,15,15,94,NA,"88",27,"",NA,2131,TRUE,TRUE,TRUE,3.5
"3",3,"MATH&107","B014","2.3",2.3,"B343","",2.3,5,5,NA,NA,"",NA,"",NA,7896,TRUE,TRUE,FALSE,2.3
"4",4,"MATH072","B012","W",NA,"B012","10/5/2010",0,10,0,99,NA,"",NA,"",NA,3907,FALSE,FALSE,FALSE,-0.1
"5",5,"MATH097","B012","W",NA,"B012","10/4/2010",0,10,0,99,NA,"",NA,"",NA,3907,FALSE,FALSE,FALSE,-0.1
"6",6,"MATH062","B233","3.8",3.8,"B344","",3.75,10,10,87,66,"15",NA,"",NA,6936,TRUE,TRUE,TRUE,3.8
"7",7,"MATH070","B341","3.4",3.4,"B344","",3.5,10,10,87,66,"15",NA,"",NA,6936,TRUE,TRUE,TRUE,3.4
"8",8,"MATH072","B342","1.4",1.4,"B344","",0.7,10,5,87,66,"15",NA,"",NA,6936,TRUE,FALSE,FALSE,1.4
"9",9,"MATH&141","B232","4",4,"B344","",4,12,12,99,66,"46",NA,"",NA,1070,TRUE,TRUE,TRUE,4
"10",10,"MATH&142","B233","3.5",3.5,"B344","",3.55,10,10,99,66,"46",NA,"",NA,1070,TRUE,TRUE,TRUE,3.5
"11",11,"MATH&151","B342","3.4",3.4,"B344","",3.63,13,13,99,66,"46",NA,"",NA,1070,TRUE,TRUE,TRUE,3.4
"12",12,"MATH072","B124","4",4,"B344","",4,10,10,99,66,"46",NA,"",NA,1070,TRUE,TRUE,TRUE,4
"13",13,"MATH097","B231","4",4,"B344","",3.87,15,15,99,66,"46",NA,"",NA,1070,TRUE,TRUE,TRUE,4
"14",14,"MATH&142","B121","W",NA,"B231","7/21/2011",0,5,0,93,NA,"46",NA,"",NA,11502,FALSE,FALSE,FALSE,-0.1
"15",15,"MATH070","B234","4",4,"B344","",4,10,10,99,67,"23",NA,"",NA,7580,TRUE,TRUE,TRUE,4
"16",16,"MATH072","B342","3.1",3.1,"B344","",3.65,13,13,99,67,"23",NA,"",NA,7580,TRUE,TRUE,TRUE,3.1
"17",17,"MATH&107","B014","2.6",2.6,"B014","",2.6,5,5,76,54,"",NA,"",NA,1248,TRUE,TRUE,TRUE,2.6
"18",18,"MATH&141","B234","2.4",2.4,"B344","",3.2,10,10,94,43,"15",NA,"",NA,1966,TRUE,TRUE,FALSE,2.4
"19",19,"MATH062","B122","4",4,"B344","",4,10,10,94,43,"15",NA,"",NA,1966,TRUE,TRUE,TRUE,4
"20",20,"MATH070","B123","4",4,"B344","",4,10,10,94,43,"15",NA,"",NA,1966,TRUE,TRUE,TRUE,4
"21",21,"MATH072","B124","4",4,"B344","",4,10,10,94,43,"15",NA,"",NA,1966,TRUE,TRUE,TRUE,4
"22",22,"MATH097","B231","4",4,"B344","",3.85,10,10,94,43,"15",NA,"",NA,1966,TRUE,TRUE,TRUE,4
"23",23,"MATH070","B012","3",3,"B233","",3,15,10,96,31,"23",NA,"",NA,7899,TRUE,TRUE,TRUE,3
"24",24,"MATH072","B013","0",0,"B233","1/3/2011",2,15,10,96,31,"23",NA,"",NA,7899,FALSE,FALSE,FALSE,0
"25",25,"MATH072","B121","0",0,"B233","8/2/2011",0.33,15,5,96,31,"23",NA,"",NA,7899,FALSE,FALSE,FALSE,0
"26",26,"MATH147","B012","4",4,"B014","",3.4,10,10,85,NA,"",23,"",NA,664,TRUE,TRUE,TRUE,4
"27",27,"MATH&107","B122","2",2,"B233","",2.13,15,15,86,NA,"",NA,"",NA,7630,TRUE,TRUE,FALSE,2
"28",28,"MATH097","B012","2",2,"B233","",2.5,15,15,86,NA,"",NA,"",NA,7630,TRUE,TRUE,FALSE,2
"29",29,"MATH147","B013","0",0,"B233","3/4/2011",2.47,15,10,86,NA,"",NA,"",NA,7630,FALSE,FALSE,FALSE,0
"30",30,"MATH147","B014","W",NA,"B233","5/5/2011",3.15,18,13,86,NA,"",NA,"",NA,7630,FALSE,FALSE,FALSE,-0.1
"31",31,"MATH147","B121","NC",NA,"B233","",3.05,16,11,86,NA,"",NA,"",NA,7630,FALSE,FALSE,FALSE,-0.1
"32",32,"MATH&107","B011","3.1",3.1,"B121","",3.03,16,16,89,27,"",NA,"",NA,7409,TRUE,TRUE,TRUE,3.1
"33",33,"MATH097","B342","1",1,"B343","",2.82,17,17,99,NA,"",NA,"",NA,8259,TRUE,FALSE,FALSE,1
"34",34,"MATH072","B012","2.1",2.1,"B122","",2.79,17,12,88,40,"",NA,"",NA,5103,TRUE,TRUE,FALSE,2.1
"35",35,"MATH062","B123","3.5",3.5,"B344","",3.5,5,5,71,43,"21",NA,"",NA,8529,TRUE,TRUE,TRUE,3.5
"36",36,"MATH070","B124","3.6",3.6,"B344","",3.8,10,10,71,43,"21",NA,"",NA,8529,TRUE,TRUE,TRUE,3.6
"37",37,"MATH072","B231","1.8",1.8,"B344","",1.8,5,5,71,43,"21",NA,"",NA,8529,TRUE,FALSE,FALSE,1.8
"38",38,"MATH072","B232","3.1",3.1,"B344","",3.45,10,10,71,43,"21",NA,"",NA,8529,TRUE,TRUE,TRUE,3.1
"39",39,"MATH097","B233","0",0,"B344","3/21/2013",0,5,0,71,43,"21",NA,"",NA,8529,FALSE,FALSE,FALSE,0
"40",40,"MATH097","B234","2.8",2.8,"B344","",2.95,10,10,71,43,"21",NA,"",NA,8529,TRUE,TRUE,TRUE,2.8
"41",41,"MATH062","B013","3.6",3.6,"B014","",2.47,15,15,83,24,"16",NA,"",NA,750,TRUE,TRUE,TRUE,3.6
"42",42,"MATH070","B014","0",0,"B014","",0,16,0,83,24,"16",NA,"",NA,750,FALSE,FALSE,FALSE,0
"43",43,"MATH062","B231","2",2,"B344","",2.47,15,15,75,32,"17",NA,"",180,12401,TRUE,TRUE,FALSE,2
"44",44,"MATH070","B232","0",0,"B344","12/12/2012",1.4,15,5,75,32,"17",NA,"",180,12401,FALSE,FALSE,FALSE,0
"45",45,"MATH&141","B124","1.5",1.5,"B233","",1.5,5,5,95,49,"36",NA,"",NA,2615,TRUE,FALSE,FALSE,1.5
"46",46,"MATH&141","B233","0",0,"B233","3/11/2013",0,5,0,95,49,"36",NA,"",NA,2615,FALSE,FALSE,FALSE,0
"47",47,"MATH072","B013","0",0,"B233","1/7/2011",0,10,0,95,49,"36",NA,"",NA,2615,FALSE,FALSE,FALSE,0
"48",48,"MATH072","B121","2.6",2.6,"B233","",2.6,5,5,95,49,"36",NA,"",NA,2615,TRUE,TRUE,TRUE,2.6
"49",49,"MATH097","B123","2.5",2.5,"B233","",3,10,10,95,49,"36",NA,"",NA,2615,TRUE,TRUE,TRUE,2.5
"50",50,"MATH072","B233","3.3",3.3,"B342","",3.2,15,15,99,87,"22",NA,"",NA,10850,TRUE,TRUE,TRUE,3.3
"51",51,"MATH097","B234","2.5",2.5,"B342","",3,15,15,99,87,"22",NA,"",NA,10850,TRUE,TRUE,TRUE,2.5
"52",52,"MATH&142","B014","1",1,"B342","",1,5,5,64,27,"",38,"",NA,8509,TRUE,FALSE,FALSE,1
"53",53,"MATH147","B012","3",3,"B013","",3,5,5,97,64,"19",NA,"",NA,6483,TRUE,TRUE,TRUE,3
"54",54,"MATH&107","B233","3.9",3.9,"B344","",3.6,15,15,99,91,"30",NA,"",NA,10359,TRUE,TRUE,TRUE,3.9
"55",55,"MATH062","B014","4",4,"B231","",3.67,15,15,87,33,"21",NA,"",NA,8198,TRUE,TRUE,TRUE,4
"56",56,"MATH070","B121","4",4,"B231","",3.71,12,7,87,33,"21",NA,"",NA,8198,TRUE,TRUE,TRUE,4
"57",57,"MATH072","B122","3.8",3.8,"B231","",3.93,15,15,87,33,"21",NA,"",NA,8198,TRUE,TRUE,TRUE,3.8
"58",58,"MATH097","B123","3.1",3.1,"B231","",3.39,18,18,87,33,"21",NA,"",NA,8198,TRUE,TRUE,TRUE,3.1
"59",59,"MATH062","B014","2.5",2.5,"B343","",2.5,5,5,76,35,"18",NA,"",NA,12274,TRUE,TRUE,TRUE,2.5
"60",60,"MATH070","B122","W",NA,"B343","11/3/2011",1.6,10,5,76,35,"18",NA,"",NA,12274,FALSE,FALSE,FALSE,-0.1
"61",61,"MATH072","B233","3.7",3.7,"B344","",3.5,15,15,97,39,"26",NA,"",NA,5573,TRUE,TRUE,TRUE,3.7
"62",62,"MATH097","B341","3",3,"B344","",3,10,10,97,39,"26",NA,"",NA,5573,TRUE,TRUE,TRUE,3
"63",63,"MATH147","B342","3.9",3.9,"B344","",3.5,10,10,97,39,"26",NA,"",NA,5573,TRUE,TRUE,TRUE,3.9
"64",64,"MATH072","B013","W",NA,"B341","1/19/2011",3.1,15,10,41,20,"",NA,"",290,6235,FALSE,FALSE,FALSE,-0.1
"65",65,"MATH072","B232","3.6",3.6,"B341","",3.17,15,15,41,20,"",NA,"",290,6235,TRUE,TRUE,TRUE,3.6
"66",66,"MATH097","B234","3.2",3.2,"B341","",3.2,10,5,41,20,"",NA,"",290,6235,TRUE,TRUE,TRUE,3.2
"67",67,"MATH062","B232","3.7",3.7,"B344","",3.73,15,15,69,35,"21",NA,"",NA,2965,TRUE,TRUE,TRUE,3.7
"68",68,"MATH070","B233","3.6",3.6,"B344","",3.74,17,17,69,35,"21",NA,"",NA,2965,TRUE,TRUE,TRUE,3.6
"69",69,"MATH072","B234","2.5",2.5,"B344","",2.34,14,14,69,35,"21",NA,"",NA,2965,TRUE,TRUE,TRUE,2.5
"70",70,"MATH097","B341","2.3",2.3,"B344","",2.83,12,12,69,35,"21",NA,"",NA,2965,TRUE,TRUE,FALSE,2.3
"71",71,"MATH&107","B012","1.1",1.1,"B342","",1.1,5,5,74,NA,"",NA,"",NA,12512,TRUE,FALSE,FALSE,1.1
"72",72,"MATH062","B121","3.5",3.5,"B343","",2.5,10,10,90,NA,"41",NA,"",NA,10335,TRUE,TRUE,TRUE,3.5
"73",73,"MATH070","B122","2.5",2.5,"B343","",2.05,10,10,90,NA,"41",NA,"",NA,10335,TRUE,TRUE,TRUE,2.5
"74",74,"MATH072","B013","0",0,"B343","2/27/2011",0,10,0,90,NA,"41",NA,"",NA,10335,FALSE,FALSE,FALSE,0
"75",75,"MATH072","B123","2.9",2.9,"B343","",2.9,10,10,90,NA,"41",NA,"",NA,10335,TRUE,TRUE,TRUE,2.9
"76",76,"MATH097","B124","3.3",3.3,"B343","",3.3,10,10,90,NA,"41",NA,"",NA,10335,TRUE,TRUE,TRUE,3.3
"77",77,"MATH&141","B233","3.4",3.4,"B342","",3.37,15,15,78,NA,"",41,"",NA,4640,TRUE,TRUE,TRUE,3.4
"78",78,"MATH&142","B234","3.1",3.1,"B342","",2.79,12,12,78,NA,"",41,"",NA,4640,TRUE,TRUE,TRUE,3.1
"79",79,"MATH097","B232","4",4,"B342","",3.83,12,12,78,NA,"",41,"",NA,4640,TRUE,TRUE,TRUE,4
"80",80,"MATH147","B122","3.3",3.3,"B233","",3.25,10,10,99,45,"",NA,"",NA,5466,TRUE,TRUE,TRUE,3.3
"81",81,"MATH070","B231","3.7",3.7,"B342","",3.1,10,10,93,67,"33",NA,"",NA,483,TRUE,TRUE,TRUE,3.7
"82",82,"MATH072","B232","3",3,"B342","",3,10,10,93,67,"33",NA,"",NA,483,TRUE,TRUE,TRUE,3
"83",83,"MATH097","B233","2.7",2.7,"B342","",2.57,15,15,93,67,"33",NA,"",NA,483,TRUE,TRUE,TRUE,2.7
"84",84,"MATH147","B234","W",NA,"B342","5/3/2013",2.3,10,5,93,67,"33",NA,"",NA,483,FALSE,FALSE,FALSE,-0.1
"85",85,"MATH062","B121","2.7",2.7,"B122","",1.38,13,10,89,62,"16",NA,"",NA,12168,TRUE,TRUE,TRUE,2.7
"86",86,"MATH070","B014","W",NA,"B122","4/28/2011",2.14,12,5,89,62,"16",NA,"",NA,12168,FALSE,FALSE,FALSE,-0.1
"87",87,"MATH062","B122","3.5",3.5,"B344","",3.2,15,15,84,62,"25",NA,"",NA,8410,TRUE,TRUE,TRUE,3.5
"88",88,"MATH070","B123","3.4",3.4,"B344","",1.7,7,7,84,62,"25",NA,"",NA,8410,TRUE,TRUE,TRUE,3.4
"89",89,"MATH072","B124","3.9",3.9,"B344","",3.4,10,10,84,62,"25",NA,"",NA,8410,TRUE,TRUE,TRUE,3.9
"90",90,"MATH097","B232","3.1",3.1,"B344","",3.3,12,12,84,62,"25",NA,"",NA,8410,TRUE,TRUE,TRUE,3.1
"91",91,"MATH147","B233","1",1,"B344","",0.93,10,10,84,62,"25",NA,"",NA,8410,TRUE,FALSE,FALSE,1
"92",92,"MATH070","B014","4",4,"B341","",4,10,5,92,74,"22",NA,"",NA,6994,TRUE,TRUE,TRUE,4
"93",93,"MATH062","B011","0",0,"B344","7/2/2010",0,13,0,71,49,"23",NA,"",NA,9273,FALSE,FALSE,FALSE,0
"94",94,"MATH072","B013","NC",NA,"B342","",2.9,10,5,93,52,"27",NA,"",NA,9394,FALSE,FALSE,FALSE,-0.1
"95",95,"MATH072","B014","4",4,"B342","",4,7,7,93,52,"27",NA,"",NA,9394,TRUE,TRUE,TRUE,4
"96",96,"MATH097","B121","3.4",3.4,"B342","",3.44,8,8,93,52,"27",NA,"",NA,9394,TRUE,TRUE,TRUE,3.4
"97",97,"MATH&107","B231","2.5",2.5,"B233","",NA,10,10,87,43,"17",NA,"",NA,8916,TRUE,TRUE,TRUE,2.5
"98",98,"MATH062","B013","3.6",3.6,"B233","",3.6,10,10,87,43,"17",NA,"",NA,8916,TRUE,TRUE,TRUE,3.6
"99",99,"MATH070","B014","3.6",3.6,"B233","",3.75,12,12,87,43,"17",NA,"",NA,8916,TRUE,TRUE,TRUE,3.6
"100",100,"MATH072","B121","3.2",3.2,"B233","",3.2,5,5,87,43,"17",NA,"",NA,8916,TRUE,TRUE,TRUE,3.2
"101",101,"MATH097","B122","2.6",2.6,"B233","",2.7,10,10,87,43,"17",NA,"",NA,8916,TRUE,TRUE,TRUE,2.6
"102",102,"MATH062","B124","3.5",3.5,"B344","",3.75,10,10,NA,NA,"",NA,"",NA,6827,TRUE,TRUE,TRUE,3.5
"103",103,"MATH070","B231","1",1,"B344","",2.1,10,10,NA,NA,"",NA,"",NA,6827,TRUE,FALSE,FALSE,1
"104",104,"MATH070","B232","2.9",2.9,"B344","",2.9,5,5,NA,NA,"",NA,"",NA,6827,TRUE,TRUE,TRUE,2.9
"105",105,"MATH072","B233","3.1",3.1,"B344","",3.33,8,8,NA,NA,"",NA,"",NA,6827,TRUE,TRUE,TRUE,3.1
"106",106,"MATH097","B234","2.8",2.8,"B344","",3.1,8,8,NA,NA,"",NA,"",NA,6827,TRUE,TRUE,TRUE,2.8
"107",107,"MATH&141","B011","1.5",1.5,"B342","",2.97,15,15,99,93,"69",NA,"",NA,2715,TRUE,FALSE,FALSE,1.5
"108",108,"MATH&141","B012","W",NA,"B342","10/7/2010",3.84,18,13,99,93,"69",NA,"",NA,2715,FALSE,FALSE,FALSE,-0.1
"109",109,"MATH&141","B341","2.5",2.5,"B342","",2.3,10,10,99,93,"69",NA,"",NA,2715,TRUE,TRUE,TRUE,2.5
"110",110,"MATH097","B234","4",4,"B342","",3.6,10,10,99,93,"69",NA,"",NA,2715,TRUE,TRUE,TRUE,4
"111",111,"MATH&141","B012","W",NA,"B013","10/20/2010",2,11,6,NA,NA,"61",NA,"",NA,10810,FALSE,FALSE,FALSE,-0.1
"112",112,"MATH070","B012","0.8",0.8,"B122","",1.65,15,15,79,38,"17",NA,"",NA,2704,FALSE,FALSE,FALSE,0.8
"113",113,"MATH070","B013","0",0,"B122","3/11/2011",1.33,15,10,79,38,"17",NA,"",NA,2704,FALSE,FALSE,FALSE,0
"114",114,"MATH070","B014","4",4,"B122","",3.23,15,15,89,69,"16",NA,"",NA,11614,TRUE,TRUE,TRUE,4
"115",115,"MATH072","B232","0",0,"B233","11/6/2012",0,10,0,NA,NA,"",NA,"",NA,8136,FALSE,FALSE,FALSE,0
"116",116,"MATH147","B011","4",4,"B124","",3.9,10,10,99,93,"92",42,"",NA,4767,TRUE,TRUE,TRUE,4
"117",117,"MATH&107","B014","4",4,"B123","",3.57,15,15,96,74,"23",NA,"",NA,10459,TRUE,TRUE,TRUE,4
"118",118,"MATH097","B011","2.6",2.6,"B123","",3.3,10,10,96,74,"23",NA,"",NA,10459,TRUE,TRUE,TRUE,2.6
"119",119,"MATH&107","B234","3.1",3.1,"B344","",3.1,5,5,90,NA,"30",NA,"",NA,6681,TRUE,TRUE,TRUE,3.1
"120",120,"MATH072","B232","3.3",3.3,"B344","",3.3,5,5,90,NA,"30",NA,"",NA,6681,TRUE,TRUE,TRUE,3.3
"121",121,"MATH097","B233","2",2,"B344","",2,5,5,90,NA,"30",NA,"",NA,6681,TRUE,TRUE,FALSE,2
"122",122,"MATH072","B231","0",0,"B233","7/24/2012",0,7,0,97,48,"34",NA,"",NA,10422,FALSE,FALSE,FALSE,0
"123",123,"MATH147","B013","3.4",3.4,"B014","",3.43,15,15,95,NA,"27",NA,"",NA,12486,TRUE,TRUE,TRUE,3.4
"124",124,"MATH&141","B123","3",3,"B124","",3,5,5,97,NA,"32",29,"",NA,8852,TRUE,TRUE,TRUE,3
"125",125,"MATH&107","B014","4",4,"B344","",4,5,5,87,NA,"59",NA,"",NA,12327,TRUE,TRUE,TRUE,4
"126",126,"MATH&141","B011","W",NA,"B344","7/13/2010",3,10,5,87,NA,"59",NA,"",NA,12327,FALSE,FALSE,FALSE,-0.1
"127",127,"MATH&107","B341","3.1",3.1,"B344","",3.1,10,10,89,31,"18",NA,"",NA,2369,TRUE,TRUE,TRUE,3.1
"128",128,"MATH062","B124","3.9",3.9,"B344","",3.9,5,5,89,31,"18",NA,"",NA,2369,TRUE,TRUE,TRUE,3.9
"129",129,"MATH070","B232","4",4,"B344","",3.45,10,10,89,31,"18",NA,"",NA,2369,TRUE,TRUE,TRUE,4
"130",130,"MATH072","B233","3.4",3.4,"B344","",3.55,10,10,89,31,"18",NA,"",NA,2369,TRUE,TRUE,TRUE,3.4
"131",131,"MATH097","B234","3",3,"B344","",3.35,10,10,89,31,"18",NA,"",NA,2369,TRUE,TRUE,TRUE,3
"132",132,"MATH062","B341","4",4,"B342","",3.83,15,15,82,30,"15",NA,"",NA,7912,TRUE,TRUE,TRUE,4
"133",133,"MATH070","B342","4",4,"B342","",4,15,15,82,30,"15",NA,"",NA,7912,TRUE,TRUE,TRUE,4
"134",134,"MATH072","B013","3",3,"B124","",2.63,15,15,86,69,"29",NA,"",NA,1259,TRUE,TRUE,TRUE,3
"135",135,"MATH097","B014","0",0,"B124","6/9/2011",0.97,7,2,86,69,"29",NA,"",NA,1259,FALSE,FALSE,FALSE,0
"136",136,"MATH147","B341","3.8",3.8,"B344","",3.8,5,5,99,NA,"24",NA,"",NA,1321,TRUE,TRUE,TRUE,3.8
"137",137,"MATH062","B232","0",0,"B233","11/27/2012",0,5,0,76,54,"30",NA,"",NA,7727,FALSE,FALSE,FALSE,0
"138",138,"MATH062","B232","4",4,"B344","",3.83,15,15,74,33,"18",NA,"",NA,11420,TRUE,TRUE,TRUE,4
"139",139,"MATH070","B233","4",4,"B344","",3.83,15,15,74,33,"18",NA,"",NA,11420,TRUE,TRUE,TRUE,4
"140",140,"MATH072","B342","3.9",3.9,"B344","",3.83,15,15,74,33,"18",NA,"",NA,11420,TRUE,TRUE,TRUE,3.9
"141",141,"MATH&142","B012","0",0,"B014","12/8/2010",0.23,15,5,99,93,"",NA,"",NA,2392,FALSE,FALSE,FALSE,0
"142",142,"MATH072","B014","0",0,"B343","4/14/2011",0,5,0,NA,NA,"",NA,"",NA,9887,FALSE,FALSE,FALSE,0
"143",143,"MATH072","B231","2.8",2.8,"B343","",2.8,5,5,NA,NA,"",NA,"",NA,9887,TRUE,TRUE,TRUE,2.8
"144",144,"MATH097","B342","2.1",2.1,"B343","",2.1,5,5,NA,NA,"",NA,"",NA,9887,TRUE,TRUE,FALSE,2.1
"145",145,"MATH070","B342","4",4,"B344","",3.9,15,15,99,71,"23",NA,"",NA,5242,TRUE,TRUE,TRUE,4
"146",146,"MATH062","B013","3.7",3.7,"B233","",2.75,10,10,79,30,"15",NA,"",NA,7401,TRUE,TRUE,TRUE,3.7
"147",147,"MATH070","B014","2.6",2.6,"B233","",1.9,10,10,79,30,"15",NA,"",NA,7401,TRUE,TRUE,TRUE,2.6
"148",148,"MATH072","B122","0",0,"B233","11/30/2011",1.85,10,5,79,30,"15",NA,"",NA,7401,FALSE,FALSE,FALSE,0
"149",149,"MATH070","B011","2.5",2.5,"B014","",3.25,10,10,95,54,"16",NA,"",NA,11829,TRUE,TRUE,TRUE,2.5
"150",150,"MATH072","B014","1",1,"B014","",0.5,10,5,95,54,"16",NA,"",NA,11829,TRUE,FALSE,FALSE,1
"151",151,"MATH070","B012","3.8",3.8,"B122","",3.85,10,10,94,54,"17",NA,"",NA,8683,TRUE,TRUE,TRUE,3.8
"152",152,"MATH072","B013","2.9",2.9,"B122","",2.9,10,10,94,54,"17",NA,"",NA,8683,TRUE,TRUE,TRUE,2.9
"153",153,"MATH097","B014","2",2,"B122","",3,10,10,94,54,"17",NA,"",NA,8683,TRUE,TRUE,FALSE,2
"154",154,"MATH147","B121","0",0,"B122","7/19/2011",0,5,0,94,54,"17",NA,"",NA,8683,FALSE,FALSE,FALSE,0
"155",155,"MATH&141","B232","3.8",3.8,"B344","",3.03,14,14,96,35,"47",NA,"",NA,9261,TRUE,TRUE,TRUE,3.8
"156",156,"MATH&142","B233","1.2",1.2,"B344","",0.94,16,11,96,35,"47",NA,"",NA,9261,TRUE,FALSE,FALSE,1.2
"157",157,"MATH&142","B234","3.4",3.4,"B344","",2.22,16,16,96,35,"47",NA,"",NA,9261,TRUE,TRUE,TRUE,3.4
"158",158,"MATH072","B123","4",4,"B344","",3.87,15,15,96,35,"47",NA,"",NA,9261,TRUE,TRUE,TRUE,4
"159",159,"MATH097","B124","3.9",3.9,"B344","",3.2,15,15,96,35,"47",NA,"",NA,9261,TRUE,TRUE,TRUE,3.9
"160",160,"MATH&151","B012","1.6",1.6,"B124","",2.22,19,14,95,NA,"",50,"",NA,929,TRUE,FALSE,FALSE,1.6
"161",161,"MATH&151","B013","2.5",2.5,"B124","",2.64,16,16,95,NA,"",50,"",NA,929,TRUE,TRUE,TRUE,2.5
"162",162,"MATH062","B122","3.4",3.4,"B233","",2.97,15,15,99,37,"15",NA,"",NA,3025,TRUE,TRUE,TRUE,3.4
"163",163,"MATH072","B123","3.4",3.4,"B341","",3.5,10,10,80,25,"",NA,"",NA,5535,TRUE,TRUE,TRUE,3.4
"164",164,"MATH097","B124","2.6",2.6,"B341","",2.6,5,5,80,25,"",NA,"",NA,5535,TRUE,TRUE,TRUE,2.6
"165",165,"MATH062","B232","3.3",3.3,"B234","",3.1,15,15,81,33,"17",NA,"",NA,7229,TRUE,TRUE,TRUE,3.3
"166",166,"MATH070","B233","0",0,"B234","1/28/2013",0,15,0,81,33,"17",NA,"",NA,7229,FALSE,FALSE,FALSE,0
"167",167,"MATH072","B014","0",0,"B124","4/22/2011",0.35,10,5,95,40,"38",NA,"",NA,7127,FALSE,FALSE,FALSE,0
"168",168,"MATH&141","B122","3.8",3.8,"B233","",3.8,5,5,99,NA,"84",77,"",NA,9288,TRUE,TRUE,TRUE,3.8
"169",169,"MATH&142","B123","3.1",3.1,"B233","",3.1,5,5,99,NA,"84",77,"",NA,9288,TRUE,TRUE,TRUE,3.1
"170",170,"MATH&151","B232","1.7",1.7,"B233","",1.7,5,5,99,NA,"84",77,"",NA,9288,TRUE,FALSE,FALSE,1.7
"171",171,"MATH070","B121","3.4",3.4,"B233","",2.1,15,10,99,51,"",NA,"",NA,10094,TRUE,TRUE,TRUE,3.4
"172",172,"MATH072","B123","3.6",3.6,"B233","",3.1,15,15,99,51,"",NA,"",NA,10094,TRUE,TRUE,TRUE,3.6
"173",173,"MATH097","B124","2.5",2.5,"B233","",2.7,15,10,99,51,"",NA,"",NA,10094,TRUE,TRUE,TRUE,2.5
"174",174,"MATH070","B124","4",4,"B232","",4,10,10,91,70,"",NA,"",NA,4222,TRUE,TRUE,TRUE,4
"175",175,"MATH072","B231","2.7",2.7,"B232","",2.2,10,10,91,70,"",NA,"",NA,4222,TRUE,TRUE,TRUE,2.7
"176",176,"MATH097","B232","0",0,"B232","9/24/2012",0,5,0,91,70,"",NA,"",NA,4222,FALSE,FALSE,FALSE,0
"177",177,"MATH072","B233","3.9",3.9,"B344","",3.9,12,12,99,98,"27",NA,"",NA,12553,TRUE,TRUE,TRUE,3.9
"178",178,"MATH097","B234","I",NA,"B344","6/12/2013",1.5,17,7,99,98,"27",NA,"",NA,12553,FALSE,FALSE,FALSE,-0.1
"179",179,"MATH&141","B123","3.8",3.8,"B234","",3.8,5,5,99,70,"24",NA,"",NA,8453,TRUE,TRUE,TRUE,3.8
"180",180,"MATH070","B012","4",4,"B234","",4,5,5,99,70,"24",NA,"",NA,8453,TRUE,TRUE,TRUE,4
"181",181,"MATH072","B013","4",4,"B234","",4,5,5,99,70,"24",NA,"",NA,8453,TRUE,TRUE,TRUE,4
"182",182,"MATH097","B014","4",4,"B234","",4,5,5,99,70,"24",NA,"",NA,8453,TRUE,TRUE,TRUE,4
"183",183,"MATH&141","B232","4",4,"B343","",3.9,15,15,99,NA,"45",NA,"",NA,4890,TRUE,TRUE,TRUE,4
"184",184,"MATH&142","B233","3.7",3.7,"B343","",3.83,15,15,99,NA,"45",NA,"",NA,4890,TRUE,TRUE,TRUE,3.7
"185",185,"MATH&151","B234","4",4,"B343","",4,15,15,99,NA,"45",NA,"",NA,4890,TRUE,TRUE,TRUE,4
"186",186,"MATH072","B124","4",4,"B343","",3.93,15,15,99,NA,"45",NA,"",NA,4890,TRUE,TRUE,TRUE,4
"187",187,"MATH097","B231","4",4,"B343","",3.7,15,15,99,NA,"45",NA,"",NA,4890,TRUE,TRUE,TRUE,4
"188",188,"MATH&107","B121","3.1",3.1,"B123","",3.5,14,14,96,54,"25",NA,"",NA,1472,TRUE,TRUE,TRUE,3.1
"189",189,"MATH070","B011","3.7",3.7,"B123","",3.8,15,15,96,54,"25",NA,"",NA,1472,TRUE,TRUE,TRUE,3.7
"190",190,"MATH072","B012","2.9",2.9,"B123","",3.7,21,21,96,54,"25",NA,"",NA,1472,TRUE,TRUE,TRUE,2.9
"191",191,"MATH097","B013","2.5",2.5,"B123","",3.51,16,16,96,54,"25",NA,"",NA,1472,TRUE,TRUE,TRUE,2.5
"192",192,"MATH&141","B011","2.3",2.3,"B011","",2.3,5,5,93,38,"",NA,"",NA,1723,TRUE,TRUE,FALSE,2.3
"193",193,"MATH&107","B122","1",1,"B342","",1.25,10,10,87,49,"48",NA,"",NA,2619,TRUE,FALSE,FALSE,1
"194",194,"MATH097","B121","2.7",2.7,"B342","",2.7,5,5,87,49,"48",NA,"",NA,2619,TRUE,TRUE,TRUE,2.7
"195",195,"MATH062","B123","3.7",3.7,"B234","",2.56,17,12,83,NA,"26",NA,"",NA,1792,TRUE,TRUE,TRUE,3.7
"196",196,"MATH070","B124","3.7",3.7,"B234","",3.35,10,10,83,NA,"26",NA,"",NA,1792,TRUE,TRUE,TRUE,3.7
